task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,rac1p_equalized_odds_diff,sex_equalized_odds_diff,rac1p_x_sex_equalized_odds_diff
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,full,mcar,train_and_prediction,protected_group_mixing,0.22041278633727476,0.06549153280708454,0.33610071086272103
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.22497116464629163,0.0659152540796177,0.3297573844391523
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.22296839048723713,0.06474714356921887,0.3382284014832494
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.21660094425434315,0.0645933829741931,0.3276177499672304
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.23553115292231255,0.06464887731914251,0.34699566558094724
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.23087546482013177,0.06534224558059937,0.3448832688308861
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.23197146553357237,0.06517981824953348,0.35060191287067466
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.22919568316969116,0.0641660867693395,0.3352395480299283
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.22873755737016974,0.0642980959235724,0.3489738254509741
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.23070853786451212,0.06547736004847891,0.332224181604941
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,protected_group_mixing,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,full,mcar,train_and_prediction,reweighing,0.22830242459939884,0.06618885703969266,0.3347271945801696
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,reweighing,0.23221799051377842,0.06562493192931941,0.33565816705674056
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,reweighing,0.23581935204011237,0.06547400819513101,0.3388591075764753
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,reweighing,0.23249412267893443,0.06579056568503054,0.33811018269721854
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,reweighing,0.2386276749039681,0.06554720153317066,0.34198009455135475
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,reweighing,0.23579598580106334,0.06587850123072843,0.34610723765856316
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,reweighing,0.23161288176964356,0.06605654011680222,0.33419743321655493
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,reweighing,0.23431860421102949,0.06525236376882516,0.3446028408502252
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,reweighing,0.2296492714402157,0.06577980939446769,0.3424499560626114
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,reweighing,0.23468612013223325,0.06550185167044989,0.33524640344769
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,reweighing,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,full,mcar,train_and_prediction,threshold_optimizer_eo,0.2201775123180623,0.014140861315934967,0.4159759232668177
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.189363726781591,0.034166553203881164,0.2852716121671113
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.17792653360644728,0.033761552996234546,0.3114247857840023
