task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,accuracy,balanced_accuracy,brier,fit_seconds
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7110428961140695,0.7206944792189306,0.2889571038859305,5.402745206201144
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7181611906130987,0.726446838717931,0.2818388093869013,5.3944237555875585
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7334079301982549,0.7406491342509697,0.26659206980174505,5.4248313360008975
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7139679020725518,0.7274329754650876,0.28603209792744816,5.419008821672893
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7276412158220622,0.736441524713358,0.27235878417793774,5.4024020563948705
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.7013442272723485,0.7024865688267246,0.29865577272765154,5.080547265599671
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.6708045944065268,0.6661109795634482,0.32919540559347316,5.21688079006714
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.6953178681967049,0.7021667527971264,0.30468213180329506,5.303732952668057
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,threshold_optimizer_eo,0.8181813638257622,0.821213920331621,0.18181863617423769,4.797854038540633
ACSIncome,geographic,full,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.773895499533111
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.427824515531247
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.415175393697936
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.42450080768793
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.40192567376935
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.409130316981559
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.404225334456983
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.448330226345032
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.440804471433665
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.402213544533858
ACSIncome,geographic,none_observed,mcar,train_and_prediction,erm,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.409522804033287
ACSIncome,geographic,full,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,76.00995413090133
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.68115787988654
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.64872148474812
