method,metric,n_pairs,delta_vs_erm,ci_low,ci_high,cluster_delta_vs_erm,cluster_ci_low,cluster_ci_high,n_clusters,paired_t,raw_p,holm_p
feature_mixing,rac1p_x_sex_equal_opportunity_diff,6160,0.0018911101998148705,0.0005755978875584992,0.0032330154456874757,0.0018911101998148705,-0.0036651376087220096,0.007628792612456115,112,2.734211506146895,0.006270863591675839,0.16931331697524765
feature_mixing,rac1p_x_sex_fpr_diff,6160,0.015824842256233793,0.014706157525476648,0.0170302979151276,0.015824842256233793,0.011177112705524716,0.02111379128014741,112,25.98831137972675,2.2254209502319674e-141,2.603742511771402e-139
feature_mixing,rac1p_x_sex_equalized_odds_diff,6160,0.006788576799264356,0.005231554919786075,0.008587645739796451,0.006788576799264356,-9.310947736886688e-05,0.014116958596929918,112,8.034310196605718,1.1189561971509683e-15,6.937528422336004e-14
feature_mixing,rac1p_x_sex_calibration_brier_diff,6160,0.0025267180223059638,0.002388016193050165,0.0026595368100124535,0.0025267180223059638,0.001908333305579925,0.0031724397306866943,112,35.08806497708457,4.687338325510484e-246,5.99979305665342e-244
feature_mixing,rac1p_x_sex_predictive_parity_diff,6160,-0.00410464935983398,-0.005667374476669538,-0.0025307498220341713,-0.00410464935983398,-0.009356369713437956,0.0018643560528766154,112,-5.37465531849556,7.954775963247801e-08,3.7387447027264663e-06
feature_mixing,rac1p_x_sex_worst_group_accuracy,6160,4.699475862970716e-05,-0.0004289164737292611,0.0005043329055729871,4.699475862970716e-05,-0.001639103026055603,0.001585065744901213,112,0.2043625494969116,0.8380769462084279,1.0
feature_mixing,rac1p_x_sex_worst_group_fnr,6160,-0.002455840903127475,-0.003678209649921745,-0.0012287638699764387,-0.002455840903127475,-0.007880615037592725,0.00349492864036962,112,-4.0349756826419485,5.526905756605864e-05,0.0018791479572459937
feature_mixing,rac1p_x_sex_worst_group_fpr,6160,0.00439290656108729,0.003758363914642067,0.005028043667105246,0.00439290656108729,0.0011682719340279353,0.0075827393555388525,112,13.451120360076041,1.1326546860097749e-40,9.740830299684064e-39
protected_group_mixing,target_availability,6160,0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,1.0,1.0
protected_group_mixing,prediction_target_availability,6160,0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,1.0,1.0
protected_group_mixing,accuracy,6160,-0.002030007521316747,-0.0021235552961094803,-0.0019376583225068197,-0.002030007521316747,-0.002500875978396829,-0.0015560741405814674,112,-45.02460356339339,0.0,0.0
protected_group_mixing,balanced_accuracy,6160,-0.0015324846953340301,-0.0016733332181101818,-0.0013966768079526624,-0.0015324846953340301,-0.002137709162189331,-0.0009500275091885866,112,-22.744885981883417,4.946333975973394e-110,5.193650674772064e-108
protected_group_mixing,positive_rate,6160,0.0011078582631901422,0.0008326173997149472,0.0013748675001613426,0.0011078582631901422,-0.0002881510057474204,0.002553892204945436,112,7.9890010370825655,1.611373403966457e-15,9.829377764195389e-14
protected_group_mixing,brier,6160,0.0007483058716623872,0.0007131925477943719,0.0007854356938447425,0.0007483058716623872,0.0005526222764642789,0.0009495096870674027,112,40.26579405273647,0.0,0.0
protected_group_mixing,roc_auc,6160,-0.003517407913623467,-0.003611642861471315,-0.003421718563979294,-0.003517407913623467,-0.004038592361964696,-0.0030199772655177754,112,-71.40328236135369,0.0,0.0
protected_group_mixing,rac1p_demographic_parity_diff,6160,-0.0015036612157486174,-0.002066679537982531,-0.0009205769625143762,-0.0015036612157486174,-0.003850514017295831,0.0011423807803960313,112,-4.926767854843156,8.578501170500327e-07,3.345615456495128e-05
protected_group_mixing,rac1p_demographic_parity_ratio,6160,0.005285757094164886,0.004308979049641698,0.00612694941362855,0.005285757094164886,0.0021999841729969387,0.008490958682073618,112,12.151711055920355,1.3584297033068437e-33,1.0731594656124065e-31
protected_group_mixing,rac1p_equal_opportunity_diff,6160,-0.008062528423509638,-0.009144237071877488,-0.006961139329361037,-0.008062528423509638,-0.011986500399364703,-0.004398986429381946,112,-14.200902055691394,4.623806144090176e-45,4.1151874682402565e-43
protected_group_mixing,rac1p_fpr_diff,6160,0.00293826601341991,0.0019512386054885641,0.003892865925482778,0.00293826601341991,-0.00047830146768857736,0.006745272478333025,112,5.802094147179007,6.874826287059562e-09,3.5061614064003766e-07
protected_group_mixing,rac1p_equalized_odds_diff,6160,-0.004325098549121994,-0.005766725865624431,-0.0029296322580088245,-0.004325098549121994,-0.009190207648089168,0.0004815715818805377,112,-6.17438983912458,7.065391832537991e-10,3.78813751592109e-08
protected_group_mixing,rac1p_calibration_brier_diff,6160,0.001056009527838046,0.0009392518442938323,0.0011731115255570255,0.001056009527838046,0.0005862958432414559,0.0015136803069913842,112,17.72552661135803,1.3169524669358459e-68,1.2774438929277706e-66
protected_group_mixing,rac1p_predictive_parity_diff,6160,-0.0017117103239573828,-0.0032248661025577018,-0.0003725817703888359,-0.0017117103239573828,-0.005628919522190247,0.0025975512201713456,112,-2.431847815706942,0.015050330857335559,0.37625827143338897
protected_group_mixing,rac1p_worst_group_accuracy,6160,-0.0011032564855467046,-0.0015041895585693197,-0.000714825785034755,-0.0011032564855467046,-0.0022997563665513696,0.0002645476711796582,112,-5.364860747575014,8.396614439972613e-08,3.7784764979876757e-06
protected_group_mixing,rac1p_worst_group_fnr,6160,-0.00558867269440004,-0.006560005055773692,-0.004587370595850275,-0.00558867269440004,-0.009178088491532467,-0.0020795155510455778,112,-10.872747088151444,2.7475879807800347e-27,2.0057392259694254e-25
protected_group_mixing,rac1p_worst_group_fpr,6160,-0.00011054046724469268,-0.0007025852409621194,0.00044107918865250755,-0.00011054046724469268,-0.002091234995675899,0.0019579638417669184,112,-0.38008183052059297,0.703897778629206,1.0
protected_group_mixing,sex_demographic_parity_diff,6160,-0.00041256119015370754,-0.0005569907641010009,-0.0002595190918373261,-0.00041256119015370754,-0.0011475318175767427,0.00024230532962644905,112,-5.3378517680621735,9.741695251511516e-08,4.188928958149952e-06
protected_group_mixing,sex_demographic_parity_ratio,6160,0.0010254651819838912,0.0005874357820115984,0.001528315799815567,0.0010254651819838912,-0.00103506587880217,0.003274101607637749,112,4.409037854416773,1.0559569426144332e-05,0.00038014449934119595
protected_group_mixing,sex_equal_opportunity_diff,6160,0.001974202473099932,0.0017761672705781295,0.0021778397328332897,0.001974202473099932,0.0013454552416632696,0.0026584791825061756,112,19.51485663894902,2.4170784457701293e-82,2.392907661312428e-80
